CtlPedalIndex,Name,Push,Hold,Click
103,TRK 4 MARK CLEAR,MARK CLEAR,-,-
104,TRK 4 HALF SPEED,HALF SPEED,-,-
105,TRK 4 HALF SPEED (MOMENT),HALF SPEED,-,-
106,TRK 4 DOUBLE SPEED,DOUBLE SPEED,-,-
107,TRK 4 DOUBLE SPEED (MOMENT),DOUBLE SPEED,-,-
108,TRK 4 TRACK FX,FX ON/OFF,-,-
109,TRK 5 REC/PLAY 1,REC/PLAY,-,-
110,TRK 5 REC/PLAY 2,REC/PLAY,UNDO (PLAY),-
111,TRK 5 REC/PLAY 3,REC/PLAY,UNDO (PLAY),STOP
112,TRK 5 REC/PLAY 4,REC/PLAY,UNDO (CLEAR),STOP
113,TRK 5 MOMENT PLAY,PLAY,-,-
114,TRK 5 PLAY/STOP 1,PLAY/STOP,-,-
115,TRK 5 PLAY/STOP 2,PLAY/STOP,UNDO (PLAY),-
116,TRK 5 PLAY/STOP 3,PLAY/STOP,UNDO (CLEAR),-
117,TRK 5 STOP 1,STOP,-,-
118,TRK 5 STOP 2,STOP,-,TAP TEMPO
119,TRK 5 STOP 3,STOP,CLEAR,TAP TEMPO
120,TRK 5 STOP 4,STOP,CLEAR,-
121,TRK 5 STOP 5,STOP,-,CLEAR
122,TRK 5 CLEAR,CLEAR,-,-
123,TRK 5 REVERSE,REVERSE,-,-
124,TRK 5 UNDO/REDO,UNDO,-,-
125,TRK 5 MARK BACK 1,MARK BACK,-,-
126,TRK 5 MARK BACK 2,MARK BACK,REC BACK,-
127,TRK 5 REC BACK,REC BACK,-,-
128,TRK 5 MARK SET 1,MARK SET,-,-
129,TRK 5 MARK SET 2,MARK SET,MARK CLEAR,-
130,TRK 5 MARK CLEAR,MARK CLEAR,-,-
131,TRK 5 HALF SPEED,HALF SPEED,-,-
132,TRK 5 HALF SPEED (MOMENT),HALF SPEED,-,-
133,TRK 5 DOUBLE SPEED,DOUBLE SPEED,-,-
134,TRK 5 DOUBLE SPEED (MOMENT),DOUBLE SPEED,-,-
135,TRK 5 TRACK FX,FX ON/OFF,-,-
136,TRK 6 REC/PLAY 1,REC/PLAY,-,-
137,TRK 6 REC/PLAY 2,REC/PLAY,UNDO (PLAY),-
138,TRK 6 REC/PLAY 3,REC/PLAY,UNDO (PLAY),STOP
139,TRK 6 REC/PLAY 4,REC/PLAY,UNDO (CLEAR),STOP
140,TRK 6 MOMENT PLAY,PLAY,-,-
141,TRK 6 PLAY/STOP 1,PLAY/STOP,-,-
142,TRK 6 PLAY/STOP 2,PLAY/STOP,UNDO (PLAY),-
143,TRK 6 PLAY/STOP 3,PLAY/STOP,UNDO (CLEAR),-
144,TRK 6 STOP 1,STOP,-,-
145,TRK 6 STOP 2,STOP,-,TAP TEMPO
146,TRK 6 STOP 3,STOP,CLEAR,TAP TEMPO
147,TRK 6 STOP 4,STOP,CLEAR,-
148,TRK 6 STOP 5,STOP,-,CLEAR
149,TRK 6 CLEAR,CLEAR,-,-
150,TRK 6 REVERSE,REVERSE,-,-
151,TRK 6 UNDO/REDO,UNDO,-,-
152,TRK 6 MARK BACK 1,MARK BACK,-,-
153,TRK 6 MARK BACK 2,MARK BACK,REC BACK,-
154,TRK 6 REC BACK,REC BACK,-,-
155,TRK 6 MARK SET 1,MARK SET,-,-
156,TRK 6 MARK SET 2,MARK SET,MARK CLEAR,-
157,TRK 6 MARK CLEAR,MARK CLEAR,-,-
158,TRK 6 HALF SPEED,HALF SPEED,-,-
159,TRK 6 HALF SPEED (MOMENT),HALF SPEED,-,-
160,TRK 6 DOUBLE SPEED,DOUBLE SPEED,-,-
161,TRK 6 DOUBLE SPEED (MOMENT),DOUBLE SPEED,-,-
162,TRK 6 TRACK FX,FX ON/OFF,-,-
163,CUR.TRK REC/PLAY 1,REC/PLAY,-,-
164,CUR.TRK REC/PLAY 2,REC/PLAY,UNDO (PLAY),-
165,CUR.TRK REC/PLAY 3,REC/PLAY,UNDO (PLAY),STOP
166,CUR.TRK REC/PLAY 4,REC/PLAY,UNDO (CLEAR),STOP
167,CUR.TRK MOMENT PLAY,PLAY,-,-
168,CUR.TRK PLAY/STOP 1,PLAY/STOP,-,-
169,CUR.TRK PLAY/STOP 2,PLAY/STOP,UNDO (PLAY),-
170,CUR.TRK PLAY/STOP 3,PLAY/STOP,UNDO (CLEAR),-
171,CUR.TRK STOP 1,STOP,-,-
172,CUR.TRK STOP 2,STOP,-,TAP TEMPO
173,CUR.TRK STOP 3,STOP,CLEAR,TAP TEMPO
174,CUR.TRK STOP 4,STOP,CLEAR,-
175,CUR.TRK STOP 5,STOP,-,CLEAR
176,CUR.TRK CLEAR,CLEAR,-,-
177,CUR.TRK REVERSE,REVERSE,-,-
178,CUR.TRK UNDO/REDO,UNDO,-,-
179,CUR.TRK MARK BACK 1,MARK BACK,-,-
180,CUR.TRK MARK BACK 2,MARK BACK,REC BACK,-
181,CUR.TRK REC BACK,REC BACK,-,-
182,CUR.TRK MARK SET 1,MARK SET,-,-
183,CUR.TRK MARK SET 2,MARK SET,MARK CLEAR,-
184,CUR.TRK MARK CLEAR,MARK CLEAR,-,-
185,CUR.TRK HALF SPEED,HALF SPEED,-,-
186,CUR.TRK HALF SPEED (MOMENT),HALF SPEED,-,-
187,CUR.TRK DOUBLE SPEED,DOUBLE SPEED,-,-
188,CUR.TRK DOUBLE SPEED (MOMENT),DOUBLE SPEED,-,-
189,CUR.TRK TRACK FX,FX ON/OFF,-,-
190,CUR.TRK INC 1,INC,INC,-
191,CUR.TRK INC 2,INC,DEC,-
192,CUR.TRK DEC 1,DEC,DEC,-
193,CUR.TRK DEC 2,DEC,INC,-
194,CUR.TRK NUM,-,-,-
195,ALL START/STOP 1,ALL START/STOP,-,-
196,ALL START/STOP 2,ALL START/STOP,ALL CLEAR,-
197,ALL START/STOP 3,ALL START/STOP,-,ALL CLEAR
198,ALL START/STOP 4,IMM ALL ST/STP,-,-
199,ALL START/STOP 5,IMM ALL ST/STP,ALL CLEAR,-
200,ALL START/STOP 6,IMM ALL ST/STP,-,ALL CLEAR
201,ALL CLEAR 1,ALL CLEAR,-,-
202,ALL CLEAR 2,-,ALL CLEAR,-
203,TAP TEMPO,TAP TEMPO,TEMPO REVERT,-
204,TEMPO UP,TEMPO DOUBLE,-,-
205,TEMPO DOWN,TEMPO HALF,-,-
206,PEDAL MODE,MODE1<->MODE2,MODE3,-
207,PEDAL MODE INC,MODE1->2->3,-,-
208,INPUT FX,FX ON/OFF,-,-
209,INPUT FX A,FX ON/OFF,-,-
210,INPUT FX B,FX ON/OFF,-,-
211,INPUT FX C,FX ON/OFF,-,-
212,INPUT FX D,FX ON/OFF,-,-
213,INPUT FX CUR,FX ON/OFF,-,-
214,TRACK FX,FX ON/OFF,-,-
215,TRACK FX A,FX ON/OFF,-,-
216,TRACK FX B,FX ON/OFF,-,-
217,TRACK FX C,FX ON/OFF,-,-
218,TRACK FX D,FX ON/OFF,-,-
219,TRACK FX CUR,FX ON/OFF,-,-
220,RHYTHM START/STOP,RHY START/STOP,-,-
221,RHYTHM START,RHYTHM START,-,-
222,RHYTHM STOP,RHYTHM STOP,-,-
223,MEMORY INC 1,INC,INC,-
224,MEMORY INC 2,INC,DEC,-
225,MEMORY DEC 1,DEC,DEC,-
226,MEMORY DEC 2,DEC,INC,-
227,MEMORY WRITE,WRITE,-,-
228,MIC IN MUTE,MUTE ON/OFF,-,-
229,MIC 1 IN MUTE,MUTE ON/OFF,-,-
230,MIC 2 IN MUTE,MUTE ON/OFF,-,-
231,LED,TOGGLE COLOR,-,-
